rule_id,rule_name,permission_a,permission_b,severity,risk_description,,
SOD-AP-001,Vendor Create vs Automatic Payment Execution,XK01,F110,Critical,A user who can create vendor master records and execute the automatic payment run can create fictitious vendors and immediately generate fraudulent payments. This is among the highest-risk SOD conflicts in SAP.,,
SOD-AP-002,Vendor Modify vs Automatic Payment Execution,XK02,F110,Critical,A user who can modify vendor bank account details and execute payment runs can redirect legitimate payments to unauthorized accounts. Represents a direct fraud vector.,,
SOD-AP-003,Vendor Create vs Vendor Invoice Entry,XK01,FB60,High,A user who can create vendors and post invoices against them can introduce fictitious vendors and record fraudulent invoices without a purchase order control point.,,
SOD-AP-004,Vendor Modify vs Vendor Invoice Entry,XK02,FB60,High,Modification of vendor master data combined with invoice posting allows a user to alter payment terms or bank details and then post invoices that will route payments incorrectly.,,
SOD-AP-005,Vendor Create vs Logistics Invoice Verification,XK01,MIRO,High,Creating vendor masters and verifying 3-way match invoices in the same hand eliminates the independence required to detect vendor fraud in the procurement cycle.,,
SOD-AP-006,Vendor Modify vs Logistics Invoice Verification,XK02,MIRO,High,Changing vendor data (e.g., bank account) and then verifying invoices for that vendor creates a direct path for payment fraud without detection.,
SOD-AP-007,Invoice Entry vs Automatic Payment Execution,FB60,F110,Critical,Posting vendor invoices and executing the payment run in the same user account removes the key control separating invoice approval from cash disbursement.,,
SOD-AP-008,Logistics Invoice Verification vs Payment Execution,MIRO,F110,Critical,Verifying PO-based invoices and running the payment program gives a single user end-to-end control over the procure-to-pay cycle, enabling payment fraud.,
SOD-AP-009,Release Blocked Invoices vs Automatic Payment Execution,MRBR,F110,High,Releasing invoices from payment block and then running the payment program eliminates the dual-control requirement over blocked invoice resolution.,,
SOD-AP-010,Invoice Entry vs Release Blocked Invoices,FB60,MRBR,High,A user who posts invoices and can also release them from blocking has full control to push through invoices that were intentionally held for review.,,
SOD-AP-011,Create Purchase Order vs Logistics Invoice Verification,ME21N,MIRO,High,Creating purchase orders and verifying the resulting invoices in the same hand removes independence in the 3-way match process (PO, GR, Invoice).
SOD-AP-012,Create Purchase Order vs Automatic Payment Execution,ME21N,F110,High,Initiating procurement commitments and executing vendor payments gives a single user control over an entire transaction cycle from requisition to cash outflow.,,
SOD-AP-013,Release Purchase Order vs Create Purchase Order,ME21N,ME29N,High,Creating and approving your own purchase orders circumvents the purchasing authorization control. This is a foundational procurement SOD conflict.,,
SOD-AP-014,Goods Receipt Posting vs Logistics Invoice Verification,MIGO,MIRO,Medium,Confirming goods receipt and verifying the vendor invoice for the same PO in the same hand weakens 3-way match integrity and may allow inflated or fictitious invoices.,,
SOD-AP-015,Cancel Invoice Document vs Logistics Invoice Verification,MR8M,MIRO,High,Posting and canceling invoices within the same user profile allows a user to manipulate invoice records without leaving a clear audit trail.,,
SOD-AP-016,Vendor Create vs Goods Receipt Posting,XK01,MIGO,Medium,Creating vendor records and posting goods receipts allows a user to fabricate both a vendor and the evidence of delivery, facilitating fictitious purchasing schemes.,
SOD-AR-001,Customer Create vs Customer Payment Clearing,XD01,F-28,High,Creating customer master records and applying incoming payments against those customers allows a user to create fictitious customers and misapply cash receipts.,,
SOD-AR-002,Customer Modify vs Customer Payment Clearing,XD02,F-28,High,Modifying customer data (e.g., bank details, payment terms) and clearing open items enables manipulation of cash application and potential misappropriation.
SOD-AR-003,Customer Create vs Sales Order Processing,XD01,VA01,Medium,Creating customers and generating sales orders for them bypasses independent credit and customer onboarding review, enabling revenue recognition manipulation.,
SOD-AR-004,Credit Limit Maintenance vs Sales Order Processing,FD32,VA01,High,Changing customer credit limits and creating sales orders for those customers gives a single user control over credit risk decisions and order acceptance.,,
SOD-AR-005,Billing Document Create vs Cash Application,VF01,F-28,Medium,Creating billing documents and clearing the resulting receivables gives one person control over the full order-to-cash cycle without independent reconciliation.,,
SOD-AR-006,Customer Modify vs Billing Document Create,XD02,VF01,Medium,Changing customer pricing or payment terms and then creating billing documents for that customer allows manipulation of revenue amounts without independent review.,,
SOD-GL-001,Journal Entry Posting vs Document Reversal,FB50,FB08,High,Posting journal entries and reversing them provides the ability to manipulate the general ledger in a way that may not be visible in period-end balances, complicating audit detection.,
SOD-GL-002,Posting Period Open/Close vs Journal Entry Posting,OB52,FB50,High,Controlling when accounting periods are open and posting entries within them gives one user the ability to post transactions in closed or restricted periods without oversight.,,
SOD-GL-003,G/L Account Master Maintenance vs Journal Entry Posting,FS00,FB50,High,Maintaining chart of accounts configuration (account types, posting keys) and posting entries creates risk of account manipulation to misclassify or conceal transactions.,
SOD-GL-004,G/L Account Clearing vs Journal Entry Posting,F-03,FB50,Medium,Posting and clearing G/L open items in the same user session allows a user to post fictitious transactions and then clear them before they are reviewed.,,
SOD-GL-005,Foreign Currency Valuation vs Journal Entry Posting,FAGL_FC_VAL,FB50,Medium,Running FX revaluation and posting manual journal entries gives a user the ability to manipulate foreign exchange gains and losses through manual adjustments.,,
SOD-GL-006,Bank Account Master Maintenance vs Payment Execution,FI12,F110,Critical,Maintaining house bank and bank account configuration and running payment programs creates a direct path to redirect corporate payments to unauthorized accounts.,,
SOD-GL-007,Manual Bank Statement Entry vs Payment Execution,FF67,F110,Critical,Manually entering bank statement data and executing payment runs allows a user to fabricate bank transactions that reconcile with fraudulent payment executions.,,
SOD-AA-001,Asset Master Create vs Depreciation Run,AS01,AFAB,High,Creating fixed asset master records and executing periodic depreciation allows a user to add fictitious assets to the asset register and manipulate depreciation expense.,,
SOD-AA-002,Asset Master Change vs Depreciation Run,AS02,AFAB,High,Modifying asset parameters (useful life, depreciation key) and running depreciation gives one user control over asset valuation and the resulting P&L impact.,
SOD-AA-003,Asset Acquisition Posting vs Asset Retirement Posting,AB01,ABAON,High,Posting both asset acquisitions and retirements allows a user to artificially inflate the asset base and then retire assets without independent review of the full lifecycle.,,
SOD-AA-004,Legacy Asset Create vs Asset Transaction Posting,AS91,AB01,High,Creating legacy asset records during migration or cutover and immediately posting transactions against them bypasses the validation controls in the asset lifecycle process.,,
SOD-AA-005,Asset Master Change vs Asset Acquisition Posting,AS02,AB01,Medium,Modifying asset master data and posting asset acquisitions allows a user to alter the capitalization parameters of assets they are also creating financial records for.,,
SOD-MM-001,Physical Inventory Count vs Post Inventory Differences,MI07,MI10,Critical,Counting physical inventory and posting the resulting count differences gives a single user full control over inventory variance recognition, enabling theft concealment.,
SOD-MM-002,Create Physical Inventory Document vs Post Inventory Differences,MI01,MI10,High,Initiating inventory counts and posting the adjustments removes dual control from inventory management, a common vector for concealing inventory shrinkage.,
SOD-MM-003,Material Master Create vs Goods Valuation,MM01,MR21,High,Creating material master records and changing the standard price or moving average price allows manipulation of inventory values and COGS without independent review.,,
SOD-MM-004,Goods Movement Posting vs Inventory Difference Posting,MB11,MI10,High,Posting goods movements and adjusting inventory balances through count differences provides the ability to manipulate stock levels without a clear audit trail.,,
SOD-MM-005,Goods Receipt Posting vs Goods Issue Posting,MIGO,MB1A,Medium,Processing both goods receipts and goods issues for the same materials allows inventory manipulation without independent confirmation of inbound and outbound flows.,,
SOD-HR-001,HR Master Data Maintenance vs Payroll Processing,PA30,PC00_M99_CALC,Critical,Maintaining employee master records (pay grade, bank details, working hours) and running payroll is the most critical HR SOD conflict. Enables ghost employee and salary manipulation fraud.
SOD-HR-002,Basic Pay Maintenance vs Payroll Processing,IT0008,PC00_M99_CALC,Critical,Changing employee compensation infotypes and executing payroll calculation allows a user to increase their own or others salaries and immediately process the resulting payments.,,
SOD-HR-003,Payroll Control Record vs Payroll Processing,PA03,PC00_M99_CALC,High,Controlling payroll period status (open, closed, released) and running payroll in the same user account removes the checkpoint that prevents unauthorized payroll runs.
SOD-HR-004,Delete Payroll Results vs Payroll Processing,PU01,PC00_M99_CALC,Critical,Deleting payroll processing results and rerunning payroll allows a user to erase evidence of previous payroll manipulations and reprocess with altered data.,,
SOD-HR-005,HR Master Data Maintenance vs HR Data Display All,PA30,PA20,Medium,While PA20 is read-only, combined with PA30 write access across all employee types this creates broad HR data exposure. Relevant for data privacy compliance in addition to fraud risk.,
SOD-BA-001,User Account Administration vs Role and Profile Administration,SU01,PFCG,Critical,Creating or modifying user accounts and maintaining the roles assigned to them gives a single administrator full control over access provisioning. This is the foundational system security SOD conflict.,,
SOD-BA-002,Mass User Account Change vs User Account Administration,SU10,SU01,High,Mass user modification combined with individual user administration allows rapid, widespread access changes without the oversight required for individual approvals.,
SOD-BA-003,ABAP Development vs Transport Management,SE38,STMS,Critical,Writing custom ABAP code and managing the transport system that moves it to production gives one developer end-to-end control over code deployment, eliminating peer review and change management controls.,
SOD-BA-004,ABAP Development vs Production System Access,SE38,SM49,Critical,Developing ABAP programs and executing system commands in a production environment creates risk of unauthorized code execution and data manipulation in live systems.,,
SOD-BA-005,User Administration vs Financial Transaction Posting,SU01,FB50,High,Managing user accounts and posting financial transactions in the same profile creates a conflict between access control and transactional processing. An administrator should not also be a transactional user.,,
SOD-BA-006,Security Audit Log Administration vs User Administration,SM19,SU01,High,Configuring audit logging and administering user accounts allows a user to disable audit trails for their own or others accounts before making unauthorized changes.,,
SOD-TR-001,Bank Master Data Maintenance vs Outgoing Payment Execution,FI12,F110,Critical,Maintaining bank account and payment method configuration and running the outgoing payment program gives one user complete control over corporate banking infrastructure and fund disbursement.,,
SOD-TR-002,Bank Statement Reprocessing vs Outgoing Payment Execution,FEBA,F110,High,Reprocessing bank statements (which affects cash position and bank reconciliation) and executing payment runs allows manipulation of both the payment and reconciliation record simultaneously.,,
SOD-TR-003,Manual Check Creation vs Check Reconciliation,FCH5,FCHI,High,Creating manual checks and reconciling the check register gives a single user control over the check issuance and clearing process, enabling check fraud without detection.,
SOD-CO-001,Cost Center Master Create vs Cost Allocation Posting,KS01,KB11N,Medium,Creating cost centers and posting direct activity allocations to them allows a user to establish new cost objects and immediately charge costs to them without independent validation.,,
SOD-CO-002,Internal Order Create vs Internal Order Settlement,KO01,KO88,High,Creating internal orders and settling their accumulated costs to final receivers gives a user control over the full lifecycle of project cost management, enabling cost manipulation.,
SOD-CO-003,Profit Center Maintain vs Profit Center Document Posting,KE51,9KE0,Medium,Maintaining profit center master data and posting financial documents to those profit centers creates risk of organizational structure manipulation affecting segment reporting.,,
SOD-CO-004,Budget Maintenance vs Budget Approval,KPZ2,KO22,High,Entering budget data and approving the same budget removes the dual-control requirement over financial planning, enabling budget inflation or unauthorized fund allocation.,
SOD-SD-001,Pricing Condition Maintenance vs Sales Order Processing,VK11,VA01,High,Maintaining pricing conditions and creating sales orders allows a user to set artificially low prices and immediately process sales at those prices, impacting revenue recognition.,
SOD-SD-002,Output Billing Document vs Sales Order Create,VF01,VA01,Medium,Creating sales orders and issuing billing documents for those orders gives one user end-to-end revenue recognition control without independent order-to-bill review.,,
SOD-SD-003,Customer Rebate Agreement vs Billing Document,VBO1,VF01,High,Creating rebate agreements and processing billing documents allows a user to establish and trigger rebate conditions without independent review of the financial impact.,,
SOD-PM-001,Create Maintenance Order vs Confirm Maintenance Order,IW31,IW41,Medium,Creating maintenance work orders and confirming completion of the work eliminates independent verification that maintenance was actually performed. Enables labor fraud and false completion reporting.,,
SOD-PM-002,Create Equipment Master vs Create Maintenance Order,IE01,IW31,Medium,Creating equipment records and immediately generating maintenance orders against them bypasses the independent technical review of asset setup before work is authorized.,,
SOD-PM-003,Change Equipment Master vs Post Goods Issue,IE02,MB1A,High,Modifying equipment serial numbers or location data and issuing parts from inventory allows a user to redirect spare parts to fictitious equipment or unauthorized locations.,,
SOD-PM-004,Schedule Maintenance Plans vs Confirm Maintenance Order,IP10,IW41,Medium,Scheduling preventive maintenance and confirming its completion in the same hand removes assurance that planned maintenance is actually being executed on schedule.,,
SOD-PM-005,Create Maintenance Order vs Create Purchase Requisition,IW31,ME51N,High,Creating maintenance orders and the resulting purchase requisitions for parts and services gives one user control over both the work scope and procurement commitment without independent review.,,
SOD-PM-006,Change Maintenance Order vs Release Blocked Invoices,IW32,MRBR,High,Modifying maintenance order costs or scope and releasing blocked invoices for those orders creates a path for inflating maintenance expenditures without detection.,,
SOD-PM-007,Create Functional Location vs Create Equipment Master,IL01,IE01,Medium,Creating both the organizational structure (functional locations) and the technical objects (equipment) within it bypasses the separation between asset hierarchy design and asset registration.,,
SOD-PM-008,Mass Change Maintenance Orders vs Goods Issue Posting,IW38,MB1A,High,Mass-editing maintenance orders and posting goods issues allows a user to retroactively change order details after materials have been consumed to conceal misuse.,,
SOD-PM-009,Create Task List vs Schedule Maintenance Plans,IA01,IP10,Medium,Defining the maintenance procedures (task lists) and scheduling when they execute gives one user control over both what work is defined and when it triggers without independent planning review.,,
SOD-PM-010,Create Maintenance Notification vs Create Maintenance Order,IW21,IW31,Medium,Reporting equipment failures and creating the resulting work orders removes the triage step where maintenance priorities are independently validated before resources are committed.,,
SOD-PM-011,Change Equipment Master vs Change Functional Location,IE02,IL02,High,Modifying both equipment records and their organizational assignment allows a user to relocate assets between business units or cost centers without independent asset management approval.,,
SOD-PM-012,Confirm Maintenance Order vs Post Goods Receipt,IW41,MIGO,Medium,Confirming maintenance work completion and receiving spare parts on the same order allows a user to close work orders with falsified completion data while still receiving materials.,,
SOD-MM-006,Create Material Master vs Create Purchase Order,MM01,ME21N,High,Creating material master records and purchasing those materials gives one user control over what can be procured and the actual procurement transaction. Enables introduction of unauthorized materials into the supply chain.,,
SOD-MM-007,Create Purchase Order vs Post Goods Receipt,ME21N,MIGO,Critical,Creating purchase orders and confirming goods receipt for those orders is among the most significant procurement SOD conflicts. A single user can fabricate purchase commitments and the evidence of delivery.,,
SOD-MM-008,Create Purchase Requisition vs Release Purchase Order,ME51N,ME29N,High,Initiating procurement requests and approving the resulting purchase orders removes dual control from the requisition-to-order process. Common in smaller organizations but represents a significant control gap.,,
SOD-MM-009,Change Material Master vs Post Inventory Differences,MM02,MI07,High,Modifying material valuation data (standard price or moving average) and posting inventory count differences allows manipulation of both inventory quantities and values simultaneously.,,
SOD-MM-010,Goods Receipt Posting vs Post Inventory Differences,MIGO,MI07,High,Receiving goods into inventory and adjusting inventory through physical count differences gives one user the ability to manipulate stock levels at both the inflow and reconciliation points.,,
SOD-MM-011,Create Purchase Order vs Vendor Invoice Entry,ME21N,FB60,High,Creating purchase orders and posting vendor invoices against them bypasses the 3-way match control that requires independent verification of the order-receipt-invoice cycle.,,
SOD-MM-012,Transfer Posting vs Goods Issue Posting,MB1B,MB1A,Medium,Processing both stock transfers and goods issues allows a user to move inventory between locations and issue it without independent tracking of material movements.,,
SOD-MM-013,Create Physical Inventory Doc vs Enter Count Results,MI01,MI04,Medium,Creating inventory count documents and entering the results eliminates independence in the physical count process. Count integrity depends on separation between count setup and data entry.,,
SOD-MM-014,Change Purchase Order vs Post Goods Receipt,ME22N,MIGO,High,Modifying purchase order quantities or prices after the fact and confirming goods receipt allows a user to manipulate procurement records to match inflated deliveries.,,
SOD-MM-015,Create Material Master vs Post Goods Receipt,MM01,MIGO,Medium,Creating new materials and immediately receiving them into inventory bypasses the material qualification and approval process that ensures only authorized items enter the supply chain.,,
SOD-XM-001,Vendor Master Create vs Create Purchase Order,XK01,ME21N,Critical,Creating vendor records and purchasing from those vendors gives one user the ability to set up fictitious suppliers and immediately procure from them. This is a primary procurement fraud vector in multinational organizations.,,
SOD-XM-002,Create Maintenance Order vs Vendor Invoice Entry,IW31,FB60,High,Creating maintenance work orders and posting vendor invoices against those orders gives one user end-to-end control over the maintenance expenditure cycle from work authorization to invoice processing.,,
SOD-XM-003,Create Equipment Master vs Journal Entry Posting,IE01,FB50,Medium,Creating fixed equipment records and posting manual journal entries allows a user to capitalize assets through manual entries rather than through the controlled asset accounting process.,,
SOD-XM-004,Create Purchase Order vs Journal Entry Posting,ME21N,FB50,High,Creating procurement commitments and posting manual journal entries provides the ability to both incur obligations and manually adjust the accounting for those transactions.,,
SOD-XM-005,Goods Receipt Posting vs Vendor Payment Execution,MIGO,F110,High,Confirming goods receipt and executing vendor payments gives one user control over both the delivery confirmation that triggers payment and the payment execution itself.,,
SOD-XM-006,Create Material Master vs Vendor Master Create,MM01,XK01,Medium,Creating both material and vendor master records gives one user control over what can be purchased and from whom without independent master data governance review.,,
SOD-XM-007,Change Maintenance Order vs Create Purchase Order,IW32,ME21N,High,Modifying maintenance work scope and creating purchase orders for parts and services allows a user to expand maintenance costs and procure materials without independent approval of the changed scope.,,
SOD-XM-008,Post Inventory Differences vs Journal Entry Posting,MI07,FB50,Critical,Adjusting physical inventory and posting manual journal entries allows a user to manipulate both inventory quantities and the financial accounting to conceal inventory shrinkage or theft.,,
SOD-XM-009,Create Equipment Master vs Create Material Master,IE01,MM01,Medium,Creating both equipment and material master records gives one user the ability to register assets and their associated spare parts without the separation between technical and procurement master data governance.,,
SOD-XM-010,Schedule Maintenance Plans vs Create Purchase Requisition,IP10,ME51N,Medium,Scheduling preventive maintenance and generating procurement requests for the parts needed allows one user to drive both the maintenance demand and the resulting procurement without independent validation of actual need.,,
SOD-XM-011,Goods Issue Posting vs Vendor Invoice Entry,MB1A,FB60,Medium,Issuing materials from inventory and posting vendor invoices creates a conflict where one user controls both the consumption record and the supplier payment obligation.,,
SOD-XM-012,Release Purchase Order vs Vendor Payment Execution,ME29N,F110,Critical,Approving purchase orders and executing vendor payments gives one user authority over both the procurement commitment approval and the cash disbursement. This represents a fundamental control failure in the procure-to-pay cycle.,,